debugR52JCP, 0, 1491850277017, blicket, square, small, red, not_striped, 
debugGO4T0L, 0, 1491850823882, blicket, square, big, blue, striped, 
A3IZDUUAWAO1HY, 0, 1491851024047, blicket, triangle, small, blue, not_striped, 
A1WUC82IN5GX1D, 0, 1491851058962, blicket, square, big, red, not_striped, 
A1WUC82IN5GX1D, 3, 1491851071044, stimulus, triangle, big, blue, not_striped, , N, 3207
A1WUC82IN5GX1D, 4, 1491851072227, stimulus, square, big, blue, not_striped, , Y, 1183
A1WUC82IN5GX1D, 5, 1491851073212, stimulus, square, small, blue, striped, , Y, 983
A1WUC82IN5GX1D, 6, 1491851074363, stimulus, square, small, red, not_striped, , Y, 1151
A1WUC82IN5GX1D, 7, 1491851075492, stimulus, triangle, big, red, striped, , N, 1127
A1WUC82IN5GX1D, 8, 1491851076556, stimulus, triangle, small, red, striped, , N, 1064
A1WUC82IN5GX1D, 9, 1491851077324, stimulus, square, big, red, not_striped, , Y, 768
A1WUC82IN5GX1D, 10, 1491851078236, stimulus, square, small, blue, not_striped, , Y, 912
A1WUC82IN5GX1D, 11, 1491851079059, stimulus, triangle, small, blue, not_striped, , N, 823
A1WUC82IN5GX1D, 12, 1491851080563, stimulus, triangle, small, red, not_striped, , N, 1503
A1WUC82IN5GX1D, 13, 1491851081412, stimulus, triangle, big, blue, striped, , N, 848
A1WUC82IN5GX1D, 14, 1491851082035, stimulus, square, big, red, striped, , Y, 622
A1WUC82IN5GX1D, 15, 1491851082788, stimulus, triangle, small, blue, striped, , N, 752
A1WUC82IN5GX1D, 16, 1491851083923, stimulus, triangle, big, red, not_striped, , N, 1134
A1WUC82IN5GX1D, 17, 1491851084532, stimulus, square, big, blue, striped, , Y, 607
A1WUC82IN5GX1D, 18, 1491851096956, Response, It is a square?
A1M5QEN7OHRWOI, 0, 1491851085136, blicket, triangle, small, red, striped, 
A1M5QEN7OHRWOI, 3, 1491851104829, stimulus, triangle, small, red, not_striped, , Y, 2906
A1M5QEN7OHRWOI, 4, 1491851108342, stimulus, square, big, red, striped, , N, 3507
A1M5QEN7OHRWOI, 5, 1491851109269, stimulus, square, small, red, not_striped, , N, 924
A1M5QEN7OHRWOI, 6, 1491851110621, stimulus, triangle, small, blue, striped, , Y, 1342
A1M5QEN7OHRWOI, 7, 1491851111485, stimulus, triangle, small, red, striped, , Y, 858
A1M5QEN7OHRWOI, 8, 1491851112805, stimulus, square, small, red, striped, , N, 1314
A1M5QEN7OHRWOI, 9, 1491851113757, stimulus, triangle, big, blue, striped, , Y, 946
A1M5QEN7OHRWOI, 10, 1491851114533, stimulus, square, big, red, not_striped, , N, 773
A1M5QEN7OHRWOI, 11, 1491851115581, stimulus, triangle, big, blue, not_striped, , Y, 1044
A1M5QEN7OHRWOI, 12, 1491851116420, stimulus, square, small, blue, not_striped, , N, 835
A1M5QEN7OHRWOI, 13, 1491851117213, stimulus, triangle, big, red, striped, , Y, 788
A1M5QEN7OHRWOI, 14, 1491851118293, stimulus, square, small, blue, striped, , N, 1076
A1M5QEN7OHRWOI, 15, 1491851119014, stimulus, triangle, big, red, not_striped, , Y, 718
A1M5QEN7OHRWOI, 16, 1491851119951, stimulus, square, big, blue, not_striped, , N, 933
A1M5QEN7OHRWOI, 17, 1491851120829, stimulus, triangle, small, blue, not_striped, , Y, 875
A1M5QEN7OHRWOI, 18, 1491851129255, Response, A triangle
A2ILUP6FN8HKKC, 0, 1491851182579, blicket, square, small, blue, not_striped, 
A2ILUP6FN8HKKC, 3, 1491851219669, stimulus, triangle, big, blue, striped, , N, 3182
A2ILUP6FN8HKKC, 4, 1491851220845, stimulus, triangle, small, red, striped, , N, 1167
A2ILUP6FN8HKKC, 5, 1491851221910, stimulus, triangle, big, red, not_striped, , N, 1060
